年份（年）,基金当期收支（亿元）,基金累计结余（亿元）,参保职工数预测（万人）,参保离退休人员数预测（万人）,待遇调整幅度,社会平均工资（元）,无财政补贴基金当期收支（亿元）,无财政补贴基金累计结余（亿元）,基金收入（亿元）,基金支出（亿元）
2020,5941.37462995066,50341.37462995066,28539.455962784,10938.14973058178,0.05,72279.28,25.02856495066285,44425.02856495066,383889188.2490607,383638902.59955406
2021,5817.337493126077,55974.5086409181,29476.085541836517,11471.755320311111,0.049400000000000006,76471.47824,-382.9931829939246,44054.16269587549,419484257.12841624,423314188.9583555
2022,5546.906069283134,61175.695511740356,30384.328284176103,12006.18165289391,0.0488,80753.88102144,-938.6398179383874,43174.02500532991,456624717.4419896,466011115.6213735
2023,5130.605958211469,65834.19583654054,31270.591794689295,12538.50835500757,0.04820000000000001,85114.59059659776,-1640.3039480478049,41684.657757681154,495320711.36903715,511723750.8495152
2024,4578.881573352778,69860.09324066696,32141.55941465193,13064.481620595194,0.0476,89540.54930762085,-2476.406548969376,39507.32284797801,535590754.00857186,560354819.4982656
2025,3900.6602558455706,73181.08073482249,33004.024784030786,13581.278968840727,0.04700000000000001,94017.5767730019,-3436.839391369474,36581.22831794185,577460564.5582199,611828958.4719146
2026,3119.279848131573,75752.71543575273,33776.6084159474,14070.100482576865,0.04700000000000001,98718.455611652,-4511.7197849720715,32861.62131735243,620527116.525527,665644314.3752477
2027,2234.11155798856,77536.26678015487,34548.8457255894,14543.035651603757,0.046400000000000004,103456.9414810113,-5686.866061173022,28321.643189325587,665180563.1382418,722049223.749972
2028,1225.3398895167352,78483.51359916512,35323.257235795245,15003.358096905322,0.0458,108215.96078913781,-6980.792923934662,22925.153653696136,711374734.9370584,781182664.1764051
2029,57.17388836330176,78526.31225565866,36100.44523535954,15456.011198467208,0.045200000000000004,112977.46306385988,-8427.96744074545,16616.230231466463,759015683.2508283,843295357.6582828
2030,-1305.3526138483287,77580.10543798668,36878.851853358385,15904.13082239476,0.0446,117722.51651254199,-10062.018465488565,9322.606753348708,807947798.9309534,908567983.585839
2031,-6240.060992768574,73200.11777301326,36107.22783257521,16313.702734903165,0.04385,122372.5559147874,-15255.048487032187,-1385.1290010300872,822289132.1534656,974839617.0237875
2032,-9641.091801901603,66647.17924466192,36133.04117803516,16713.466812358158,0.0437,127145.0855954641,-18917.51393349887,-14243.14430288596,854969195.9548024,1044144335.2897911
2033,-13284.481630997145,57903.77996813911,36161.55594560806,17107.637009532886,0.04355,132040.17139088947,-22825.281793344926,-29265.977550116055,888586194.1408765,1116839012.0743258
2034,-17256.5984330376,46905.704011569,36178.308015520844,17501.877982809758,0.0434,137057.69790374328,-27064.54099993112,-46514.90866489967,922779755.1437943,1193425165.1431055
2035,-21627.33494993236,33558.4983910132,36171.87482324818,17899.06763686534,0.043250000000000004,142197.36157513366,-31704.995937415457,-66081.4942361327,957213754.8514018,1274263714.2255564
2036,-26627.35095148473,17645.898973034775,36163.0006459343,18333.81850079478,0.043100000000000006,147458.6639534136,-36977.10878562987,-88179.14566277339,992387138.0980179,1362158225.9543166
2037,-32647.773419985104,-1246.7370772455433,36120.31999198662,18839.001395754938,0.04295,152840.9051877132,-43271.79983673508,-113219.70065068497,1027395273.2439108,1460113271.6112616
2038,-39585.80477485268,-23428.920501369357,36062.996645478095,19397.480108450065,0.042800000000000005,158343.17777447085,-50486.05587843817,-141509.91625260454,1062692317.887097,1567552876.6714787
2039,-47150.6463202544,-49013.50020124484,36026.503356414876,19978.444190565344,0.04265,163964.36058546457,-58328.85382698131,-173159.94283766404,1099304347.4341228,1682592885.7039359
2040,-55127.66397949536,-77979.33499340781,36028.58181703151,20559.172970219854,0.0425,169703.11320595583,-66585.32667389045,-208145.99943413964,1137845641.016582,1803698907.7554865
2041,-63115.82839213052,-110092.31206686427,36089.87688649441,21101.81294480068,0.042350000000000006,175557.8706115613,-74854.20382253829,-246231.39564046942,1179103906.4433858,1927645944.6687686
2042,-71236.61592486475,-145189.42440574482,36193.37149678881,21616.489431419497,0.0422,181526.83821235437,-83256.7123656023,-287250.6123582231,1222689709.1518486,2055256832.8078716
2043,-79861.54720846779,-183290.00979140628,36301.7085852133,22130.435357966384,0.042050000000000004,187607.98729246826,-92164.11591556268,-331220.5439545717,1267432278.8769174,2189073438.032544
2044,-89750.59831702805,-224752.66440007804,36352.87097807398,22695.773829029673,0.0419,193799.0508731197,-102336.12610438612,-378497.4148637499,1311102767.1130574,2334464028.1569185
2045,-101480.9444954978,-270149.9697389081,36311.46730733049,23346.403237686096,0.04175,200097.5200264961,-114349.64665807142,-429651.50936426077,1352171811.0055957,2495668277.58631
2046,-114620.48998451144,-319801.6166273298,36207.10278438556,24039.61787276217,0.041600000000000005,206500.64066734398,-127772.30359466169,-485000.2982331587,1391430604.425391,2669153640.372008
2047,-128683.51647694487,-373780.03319780435,36026.24857897989,24715.306525223223,0.04145,213005.41084836534,-142118.09407971334,-544614.0692464109,1428091552.2477055,2849272493.044839
2048,-143746.48033926086,-432167.58466563997,35804.65344910066,25389.777273530923,0.0413,219608.57858466465,-157463.18407168746,-608573.1292705319,1463305984.3303394,3037937825.047214
2049,-158986.48996526116,-494700.55923206214,35601.45725513997,26009.58166922965,0.04115,226306.64023149692,-172984.38612420252,-676611.7923057149,1499379073.8664873,3229222935.1085124
2050,-173837.78533828902,-560909.8399582141,35454.23820446713,26544.271357825648,0.041,233095.83943844182,-188115.6394204092,-748259.0533147526,1537974210.9028497,3419130605.1069417
2051,-188928.8187523491,-630588.3285224771,35094.6945970902,26961.57999464732,0.041,240088.71462159508,-203492.22991611168,-823308.6466418154,1568048845.5602105,3602971144.7213273
2052,-203511.13791098894,-703268.261464975,34801.98431409182,27303.300420549043,0.041,247291.37606024294,-218365.81729802676,-901293.6312528094,1601619512.9215944,3785277685.901862
2053,-217900.43885747695,-778622.9472478016,34554.12246887611,27592.530911122103,0.041,254710.11734205025,-233052.21183225556,-981888.1279215332,1637919061.9568853,3968441180.279441
2054,-232648.54954981297,-856530.2790176136,34318.292798280214,27862.589143123234,0.041,262351.4208623118,-248103.35798408717,-1064970.8321166527,1675542580.4464839,4156576160.2873554
2055,-248158.4721164195,-937000.0769633111,34074.52119157568,28135.43905726557,0.041,270221.9634881811,-263922.3767193792,-1150552.3564822336,1713549996.365273,4352773763.559065
2056,-263568.82100200985,-1019760.6827892334,33845.078867763375,28362.326312256657,0.041,278328.62239282654,-279648.00369702873,-1238361.8254322782,1753072082.161257,4549552119.131544
2057,-279684.3597476824,-1104800.7571083992,33618.32349271384,28591.778875467928,0.041,286678.48106461135,-296085.12609660166,-1328388.6726638142,1793566649.1498523,4754417910.115869
2058,-296602.1911703356,-1192129.1822535563,33392.87081281668,28827.643752307988,0.041,295278.83549654967,-313330.97284623317,-1420642.5440863199,1834984710.1948624,4968294438.657194
2059,-314393.4258810853,-1281764.7868856704,33167.65264867223,29071.562500754793,0.041,304137.2005614462,-331456.7831905008,-1515143.022547131,1877286918.494235,5191854750.399243
2060,-333164.7908982295,-1373744.4930298612,32939.898234753906,29326.222991272993,0.041,313261.3165782896,-350569.41535383335,-1611927.7749828594,1920327914.9380403,5426022068.476374
2061,-352013.0794721507,-1467850.5425748995,32716.506260150276,29544.426400812343,0.041,322659.1560756383,-369765.7964168667,-1710779.7790329508,1964523763.7636414,5662181727.932308
2062,-371873.07482293,-1564117.955290898,32495.6390733387,29775.39320805713,0.041,332338.93075790745,-389980.8461065402,-1811734.7811700338,2009799222.1650496,5909607683.230452
2063,-392786.2959435743,-1662579.5159454443,32274.07905119134,30017.033468337624,0.041,342309.0986806447,-411256.2226528568,-1914826.2839273268,2055979000.4926562,6168541227.021224
2064,-414869.9759187872,-1763283.8628338343,32047.206401171818,30270.77269511212,0.041,352578.37164106406,-433709.3011622553,-2020103.6345387741,2102772159.0189223,6439865170.641476
2065,-438269.33702199487,-1866299.4923723822,31808.329027979813,30538.126214851814,0.041,363155.722790296,-457485.4487703323,-2127636.0296409116,2149711207.388697,6724565695.092021
2066,-461645.16308326664,-1971373.7055567256,31571.727284760553,30761.49380102,0.041,374050.3944740049,-481245.59706657083,-2237171.461838387,2197732512.0913215,7010188482.7570305
2067,-485885.6908112652,-2078463.4271290253,31330.190995853955,30976.545640102282,0.041,385271.90630822507,-505878.1334742354,-2348667.5389770605,2246346552.4960575,7305127887.238412
2068,-511045.49516663945,-2187531.858557365,31081.79585061806,31183.68954220409,0.041,396830.06349747186,-531437.7866828692,-2462088.1372280023,2295392949.011119,7609770815.83981
2069,-537158.1346256086,-2298543.2338283556,30825.38120551395,31382.34711681163,0.041,408734.96540239605,-557958.2719721628,-2577398.156983407,2344750409.534618,7924333129.256247
2070,-564275.8540945327,-2411466.2879925426,30559.13963350486,31572.500675036827,0.041,420997.01436446793,-585491.994188018,-2694566.991504041,2394233548.4436765,8249153490.323857
2071,-590343.4771288115,-2525865.1596401115,30315.54668616831,31687.023327061688,0.041,433626.924795402,-611983.9400241667,-2813159.4294957323,2446403098.3690176,8566242498.610684
2072,-617203.9040345394,-2641681.932466871,30072.1997360567,31791.647529130896,0.041,446635.7325392641,-639277.1761878015,-2933118.196774903,2499568458.117437,8892340219.995453
2073,-644995.120179922,-2758881.240305052,29824.28496836245,31889.19925102462,0.041,460034.804515442,-667509.8577762495,-3054408.561397687,2553330914.483946,9228429492.24644
2074,-673797.1017444221,-2877437.2516005267,29569.940822268098,31980.899518883307,0.041,473835.84865090525,-696762.1340926761,-3177005.3182342625,2607502558.558627,9575123899.485388
2075,-703633.3301656804,-2997322.7538539316,29310.49452197823,32066.853747708486,0.041,488050.9241104324,-727057.6631608995,-3300881.873505894,2662163093.784613,9932739725.393608
2076,-732180.3698661149,-3118121.984371971,29081.772591910216,32084.465692052436,0.041,502692.45183374535,-756073.1895212383,-3425623.075630975,2720630806.385959,10281362701.598343
2077,-761552.2850295426,-3239788.6582186017,28853.93118982637,32095.200734495345,0.041,517773.2253887577,-785922.9610777686,-3551183.243269784,2780295480.519841,10639525091.297527
2078,-791805.6163767262,-3362283.079636243,28626.965227378434,32100.240531515403,0.041,533306.4221504205,-816663.7059459167,-3677523.276838119,2841178353.293654,11007815412.752821
2079,-822949.8712278674,-3485564.303564174,28402.450282881826,32099.606447681323,0.041,549305.6148149332,-848305.1225884417,-3804602.820116982,2903462489.710838,11386513715.595255
2080,-855034.958934122,-3609596.1618206855,28180.951328180254,32094.22504266096,0.041,565784.7832593812,-880897.3153219078,-3932386.2865248933,2967244175.0458455,11776217328.264923
2081,-886354.4949186554,-3734099.975115129,27976.604883040083,32042.828318380296,0.041,582758.3267571627,-912734.0984341969,-4060595.571218996,3034099857.6425257,12161440841.984495
2082,-918258.8798696945,-3859001.0458680443,27784.18889748467,31982.38352873497,0.041,600241.0765598776,-945166.0754555467,-4189156.5440031425,3103629051.8069873,12555289806.362455
2083,-950656.6553398152,-3984214.368670269,27605.260925079558,31911.566470539103,0.041,618248.308856674,-978101.9948373844,-4317984.759873882,3176151184.7290926,12957171133.102938
2084,-983815.499353116,-4109692.005527402,27432.844115645516,31835.60721815371,0.041,636795.7581223742,-1011809.7456406368,-4447032.834350736,3251003002.366631,13369100458.772999
2085,-1018390.2389650347,-4235466.540909573,27253.22628476377,31765.68386879182,0.041,655899.6308660455,-1046944.3701783058,-4576333.898610718,3326608415.281886,13796052117.064945
2086,-1051789.3917853045,-4361252.771492254,27096.79681234245,31651.219581227997,0.041,675576.6197920268,-1080914.6056228413,-4705603.289312858,3406739602.2070713,14215885658.435484
2087,-1085471.7828867733,-4486956.650054195,26949.95222340237,31524.13881776858,0.041,695843.9183857876,-1115179.5010010607,-4834747.492578827,3489925922.1477704,14641720932.158377
2088,-1120488.852514591,-4612606.942222983,26797.45652366757,31403.12012199598,0.041,716719.2359373613,-1150790.724991164,-4963795.80082015,3574283602.292098,15082190852.20374
2089,-1157601.8833648846,-4738308.60143698,26632.11908122718,31300.362229708768,0.041,738220.8130154822,-1188509.793290989,-5092853.687780819,3658797574.1472187,15543895507.05711
2090,-1196962.6583079835,-4864168.741423615,26456.214946882224,31216.841425410705,0.041,760367.4374059467,-1228488.7264326103,-5222028.78109524,3743670295.883906,16028557560.210009
2091,-1234692.8385077165,-4989885.264317831,26314.585585055196,31089.48647810646,0.041,783178.460528125,-1266849.4279948357,-5351019.490485381,3835337994.4594703,16503832274.407827
2092,-1274465.4718208523,-5115542.44992593,26166.755480226384,30978.623288927112,0.041,806673.8143439689,-1307265.1930977139,-5479910.597102334,3928205583.761895,17000857514.739035
2093,-1316129.9637538567,-5241198.630288804,26014.62477153609,30879.81354000709,0.041,830874.028774288,-1349585.6794562556,-5608760.928166312,4022528440.530928,17518385235.093483
2094,-1359701.5396291984,-5366904.191059076,25857.374184439133,30791.18197825236,0.041,855800.2496375167,-1393826.3696456451,-5737621.358419617,4118159869.182748,18056423565.6392
2095,-1405483.93287759,-5492727.936448038,25691.27269503686,30714.91785697929,0.041,881474.2571266422,-1440291.2594943657,-5866561.175148457,4214456985.061531,18617369580.005188
2096,-1448911.4866477149,-5618332.205886231,25557.82898210488,30587.86114666976,0.041,907918.4848404415,-1484414.959796826,-5995243.1949175075,4318343560.4718685,19162493158.44013
2097,-1494048.2094171455,-5743748.216115166,25418.82250115076,30467.605461582596,0.041,935156.0393856547,-1530261.752029239,-6123699.105734683,4423702216.4779,19726319736.77029
2098,-1541399.9324889872,-5869042.00081496,25269.490733649243,30359.132109203463,0.041,963210.7205672244,-1578337.7459533226,-6251995.406750932,4529645038.731858,20313022498.265083
2099,-1591211.525805561,-5994289.173590346,25108.47074148571,30263.669752482656,0.041,992107.0421842412,-1628888.0955391831,-6380208.171317531,4635805088.309631,20924686043.70146
2100,-1643519.572358839,-6119557.3394642295,24936.686591255824,30179.799837401137,0.041,1021870.2534497685,-1681949.6734871336,-6508405.458550024,4742211039.80467,21561707774.676006
