年份（年）,基金当期收支（亿元）,基金累计结余（亿元）,参保职工数预测（万人）,参保离退休人员数预测（万人）,待遇调整幅度,社会平均工资（元）,无财政补贴基金当期收支（亿元）,无财政补贴基金累计结余（亿元）,基金收入（亿元）,基金支出（亿元）
2020,6279.130594,50679.13059,28539.45596,10938.14973,0.04,72279.28,362.7845287,44762.78453,383889188.2,380261343
2021,6533.093539,57005.35654,29476.08554,11471.75532,0.0394,76471.47824,332.7628633,45085.0106,419484257.1,416156628.5
2022,6684.251837,63273.00241,30384.32828,12006.18165,0.0388,80753.88102,198.7059497,45271.3319,456624717.4,454637657.9
2023,6736.651074,69389.76356,31270.59179,12538.50836,0.0382,85114.5906,-34.25883226,45240.22548,495320711.4,495663299.7
2024,6704.282002,75284.3802,32141.55941,13064.48162,0.0376,89540.54931,-351.0061201,44931.60981,535590754,539100815.2
2025,6599.503789,80903.13911,33004.02478,13581.27897,0.037,94017.57677,-737.9958583,44303.28669,577460564.6,584840523.1
2026,6446.128937,86217.53527,33776.60842,14070.10048,0.037,98718.45561,-1184.870696,43326.44115,620527116.5,632375823.5
2027,6247.202584,91204.84512,34548.84573,14543.03565,0.0364,103456.9415,-1673.775035,41990.22153,665180563.1,681918313.5
2028,5985.961835,95832.28225,35323.25724,15003.3581,0.0358,108215.9608,-2220.170979,40273.92231,711374734.9,733576444.7
2029,5630.064058,100046.7792,36100.44524,15456.0112,0.0352,112977.4631,-2855.077271,38136.69717,759015683.3,787566456
2030,5148.060579,103778.4376,36878.85185,15904.13082,0.0346,117722.5165,-3608.605273,35520.93889,807947798.9,844033851.7
2031,1149.477861,104585.2724,36107.22783,16313.70273,0.03385,122372.5559,-7865.509634,30000.02567,822289132.2,900944228.5
2032,-1242.566155,103740.7146,36133.04118,16713.46681,0.0337,127145.0856,-10518.98829,22850.39106,854969196,960159078.8
2033,-3800.616247,101239.2767,36161.55595,17107.63701,0.03355,132040.1714,-13341.41641,14069.51923,888586194.1,1022000358
2034,-6607.410284,97028.20349,36178.30802,17501.87798,0.0334,137057.6979,-16415.35285,3607.590815,922779755.1,1086933284
2035,-9728.286659,91024.43823,36171.87482,17899.06764,0.03325,142197.3616,-19805.94765,-8615.554401,957213754.9,1155273231
2036,-13414.95982,83007.61063,36163.00065,18333.8185,0.0331,147458.664,-23764.71766,-22817.434,992387138.1,1230034315
2037,-18026.82217,72575.83674,36120.31999,18839.0014,0.03295,152840.9052,-28650.84859,-39397.12684,1027395273,1313903759
2038,-23449.11529,59435.96047,36062.99665,19397.48011,0.0328,158343.1778,-34349.36639,-58645.03528,1062692318,1406185982
