年份（年）,基金当期收支（亿元）,基金累计结余（亿元）,参保职工数预测（万人）,参保离退休人员数预测（万人）,待遇调整幅度,社会平均工资（元）,无财政补贴基金当期收支（亿元）,无财政补贴基金累计结余（亿元）,基金收入（亿元）,基金支出（亿元）
2020,6827.227359052628,51227.22735905263,28539.455962784,10938.14973058178,0.04,72279.28,362.78452869710327,44762.784528697106,383889188.2490607,380261342.96208966
2021,7407.4255477427605,58400.09997234087,29476.085541836517,11471.755320311111,0.039400000000000004,76471.47824,332.76286332491634,45085.01059950655,419484257.12841624,416156628.4951671
2022,7927.5461347793225,65833.54996392883,30384.328284176103,12006.18165289391,0.0388,80753.88102144,198.70594971746803,45271.33190437738,456624717.4419896,454637657.9448149
2023,8392.017262493784,73453.35461497329,31270.591794689295,12538.50835500757,0.038200000000000005,85114.59059659776,-34.25883226488233,45240.22548487584,495320711.36903715,495663299.691686
2024,8813.707738495923,81202.64503375956,32141.55941465193,13064.481620595194,0.0376,89540.54930762085,-351.0061200600028,44931.60980985908,535590754.00857186,539100815.2091719
2025,9204.293035138006,89039.09836660947,33004.024784030786,13581.278968840727,0.037000000000000005,94017.5767730019,-737.9958582551003,44303.28669139962,577460564.5582199,584840523.1407709
2026,9565.518302843828,96925.21952201371,33776.6084159474,14070.100482576865,0.037000000000000005,98718.455611652,-1184.8706964941382,43326.44115410521,620527116.525527,632375823.4904684
2027,9918.836294044113,104843.69330810997,34548.8457255894,14543.035651603757,0.0364,103456.9414810113,-1673.7750353084325,41990.22152631777,665180563.1382418,681918313.4913261
2028,10250.62858148737,112767.92347456526,35323.257235795245,15003.358096905322,0.0358,108215.96078913781,-2220.170978846538,40273.92230569851,711374734.9370584,733576444.7255238
2029,10533.55248019414,120653.02464858028,36100.44523535954,15456.011198467208,0.0352,112977.46306385988,-2855.0772711686013,38136.697168678045,759015683.2508283,787566455.9625143
2030,10739.970205355286,128438.07285861265,36878.851853358385,15904.13082239476,0.0346,117722.51651254199,-3608.6052728565337,35520.9388860194,807947798.9309534,844033851.6595187
2031,7450.542250688636,133667.71455493537,36107.22783257521,16313.702734903165,0.03385,122372.5559147874,-7865.509633638894,30000.025674755587,822289132.1534656,900944228.4898546
2032,5803.716053121531,137612.43319402248,36133.04117803516,16713.466812358158,0.0337,127145.0855954641,-10518.98828687966,22850.391064827447,854969195.9548024,960159078.823599
2033,4032.589680766177,140266.5481739442,36161.55594560806,17107.637009532886,0.033549999999999996,132040.17139088947,-13341.416409191239,14069.519231053346,888586194.1408765,1022000358.2327889
2034,2062.512971270192,141581.0409696978,36178.308015520844,17501.877982809758,0.0334,137057.69790374328,-16415.352850812436,3607.5908152250067,922779755.1437943,1086933283.6519186
2035,-166.30271381856204,141478.40805067512,36171.87482324818,17899.06763686534,0.03325,142197.36157513366,-19805.947646135424,-8615.554401461039,957213754.8514018,1155273231.312756
2036,-2854.134307760835,139772.7672602241,36163.0006459343,18333.81850079478,0.033100000000000004,147458.6639534136,-23764.717657141136,-22817.434004447223,992387138.0980179,1230034314.6694293
2037,-6314.484685323763,136118.6969054028,36120.31999198662,18839.001395754938,0.03295,152840.9051877132,-28650.848590928006,-39397.12683669233,1027395273.2439108,1313903759.1531909
2038,-10444.204702918398,130266.21352766413,36062.996645478095,19397.480108450065,0.0328,158343.17777447085,-34349.36639397477,-58645.035277286064,1062692317.887097,1406185981.8268447
2039,-14974.795287169027,122140.68665976799,36026.503356414876,19978.444190565344,0.03265,163964.36058546457,-40557.79420909534,-80652.24407238598,1099304347.4341228,1504882289.5250762
2040,-19709.758597247146,111784.55019199342,36028.58181703151,20559.172970219854,0.0325,169703.11320595583,-47051.96927051692,-105374.85102055361,1137845641.016582,1608365333.7217512
2041,-24325.445154531764,99407.90106214536,36089.87688649441,21101.81294480068,0.032350000000000004,175557.8706115613,-53458.08622177029,-132574.02341459942,1179103906.4433858,1713684768.6610887
